,files
357,"['youth', 'time', 'unemployed', 'adult', 'global', 'youth', 'unemployment', 'rate', 'income', 'country', 'adult', 'account', 'bank', 'financial', 'institution', 'compared', 'adult', 'income', 'country', 'region', 'woman', 'regard', 'inclusive', 'sustainable', 'economic', 'growth', 'drive', 'progress', 'generate', 'mean', 'implement', 'sustainable', 'development', 'goal', 'globally', 'labour', 'productivity', 'unemployment', 'financial', 'crisis', 'level', 'global', 'economy', 'growing', 'slower', 'rate', 'progress', 'needed', 'increase', 'employment', 'opportunity', 'particularly', 'young', 'reduce', 'informal', 'employment', 'gender', 'promote', 'safe', 'secure', 'working', 'environment', 'create', 'decent', 'work', 'unemployment_rate', 'adult_account', 'financial_institution', 'inclusive_sustainable', 'economic_growth', 'sustainable_development', 'labour_productivity', 'informal_employment', 'promote_safe', 'secure_working', 'decent_work']"
358,"['expected', 'remain', 'significantly', 'rate', 'attained', 'slightly', 'higher', 'rate', 'growth', 'rate', 'developed', 'country', 'expected', 'increase', 'envisioned', 'agenda', 'global', 'economic', 'downturn', 'labour', 'productivity', 'measured', 'employed', 'increasing', 'world', 'recording', 'positive', 'annual', 'growth', 'rate', 'consistently', 'world', 'labour', 'productivity', 'highest', 'annual', 'growth', 'informal', 'employment', 'impact', 'adequacy', 'earnings', 'occupational', 'safety', 'health', 'working', 'condition', 'remains', 'pervasive', 'quarter', 'country', 'subject', 'employed', 'agriculture', 'sector', 'informal', 'employment', 'growth_rate', 'developed_country', 'labour_productivity', 'annual_growth', 'labour_productivity', 'annual_growth', 'informal_employment', 'informal_employment']"
359,"['median', 'gender', 'exceeded', 'managerial', 'professional', 'occupation', 'worker', 'craft', 'related', 'trade', 'plant', 'machine', 'operator', 'assembler', 'global', 'unemployment', 'rate', 'finally', 'recovered', 'global', 'economic', 'crisis', 'global', 'unemployment', 'rate', 'stood', 'matching', 'crisis', 'level', 'youth', 'time', 'unemployed', 'adult', 'fifth', 'world', 'youth', 'education', 'employment', 'training', 'meaning', 'gaining', 'professional', 'experience', 'acquiring', 'developing', 'skill', 'educational', 'vocational', 'programme', 'prime', 'stark', 'gender', 'difference', 'young', 'woman', 'twice', 'young', 'unemployed', 'outside', 'labour', 'force', 'education', 'training', 'unemployment_rate', 'unemployment_rate', 'young_woman', 'education_training']"
360,"['based', 'recent', 'country', 'median', 'death', 'occurred', 'employee', 'median', 'fatal', 'injury', 'occurred', 'employee', 'access', 'finance', 'rise', 'globally', 'mode', 'access', 'changing', 'growing', 'reliance', 'technology', 'number', 'automated', 'teller', 'machine', 'adult', 'grew', 'close', 'globally', 'developed', 'country', 'number', 'commercial', 'bank', 'branch', 'adult', 'grew', 'customer', 'digital', 'banking', 'solution', 'trade', 'commitment', 'doubled', 'compared', 'baseline', 'represented', 'absolute', 'term', 'increase', 'highest', 'agriculture', 'sector', 'death_occurred', 'automated_teller', 'developed_country', 'commercial_bank']"
361,"['banking', 'financial', 'service', 'current', 'crisis', 'global', 'economy', 'growing', 'slower', 'rate', 'previous', 'notwithstanding', 'improvement', 'labour', 'productivity', 'unemployment', 'pandemic', 'abruptly', 'profoundly', 'disrupted', 'pushing', 'world', 'recession', 'unprecedented', 'shock', 'world', 'labour', 'market', 'expected', 'result', 'decrease', 'aggregate', 'working', 'hour', 'second', 'quarter', 'equivalent', 'time', 'worker', 'enterprise', 'worker', 'informal', 'employment', 'self', 'employed', 'daily', 'wage', 'earner', 'worker', 'sector', 'highest', 'risk', 'disruption', 'hardest', 'rate', 'growth', 'global', 'addition', 'rate', 'developed', 'country', 'financial_service', 'labour_productivity', 'labour_market', 'informal_employment', 'developed_country']"
362,"['pandemic', 'pushing', 'world', 'worst', 'global', 'economic', 'crisis', 'great', 'depression', 'brief', 'interruption', 'global', 'economic', 'downturn', 'labour', 'productivity', 'continued', 'grow', 'previous', 'globally', 'worker', 'informal', 'employment', 'need', 'rely', 'informal', 'employment', 'prevalent', 'saharan', 'africa', 'central', 'southern', 'asia', 'worker', 'respectively', 'employment', 'young', 'woman', 'twice', 'young', 'employment', 'education', 'training', 'woman', 'forced', 'inactivity', 'pandemic', 'covid', 'crisis', 'worsen', 'gender', 'young', 'employment', 'education', 'training', 'labour_productivity', 'informal_employment', 'informal_employment', 'saharan_africa', 'central_southern', 'young_woman', 'education_training', 'covid_crisis', 'education_training']"
363,"['worker', 'informal', 'economy', 'global', 'workforce', 'affected', 'significantly', 'globally', 'income', 'informal', 'worker', 'estimated', 'fall', 'month', 'crisis', 'hourly', 'earnings', 'cast', 'light', 'income', 'inequality', 'global', 'study', 'conducted', 'international', 'labour', 'organization', 'factor', 'weighted', 'gender', 'revealed', 'global', 'unemployment', 'rate', 'stood', 'highest', 'rate', 'northern', 'africa', 'western', 'asia', 'rate', 'considerably', 'higher', 'young', 'worker', 'adult', 'region', 'difference', 'reaching', 'percentage', 'point', 'northern', 'africa', 'western', 'asia', 'percentage', 'point', 'central', 'southern', 'asia', 'percentage', 'point', 'latin', 'america', 'caribbean', 'income_inequality', 'unemployment_rate', 'northern_africa', 'western_asia', 'percentage_point', 'northern_africa', 'western_asia', 'percentage_point', 'central_southern', 'percentage_point', 'latin_america']"
364,"['trade', 'commitment', 'remained', 'stable', 'based', 'current', 'price', 'south', 'central', 'asia', 'received', 'highest', 'thereof', 'followed', 'saharan', 'africa', 'middle', 'income', 'country', 'received', 'trade', 'followed', 'developed', 'country', 'according', 'country', 'youth', 'employment', 'strategy', 'plan', 'develop', 'near', 'future', 'start', 'covid', 'pandemic', 'growth', 'global', 'economy', 'slowed', 'pandemic', 'caused', 'worst', 'global', 'economic', 'recession', 'great', 'depression', 'massive', 'impact', 'working', 'time', 'income', 'global', 'working', 'hour', 'lost', 'compared', 'figure', 'fourth', 'quarter', 'equivalent', 'time', 'approximately', 'time', 'greater', 'hour', 'lost', 'global', 'financial', 'crisis', 'remained_stable', 'central_asia', 'saharan_africa', 'middle_income', 'developed_country', 'youth_employment', 'covid_pandemic']"
365,"['global', 'economy', 'slowly', 'recovering', 'activity', 'remain', 'pandemic', 'level', 'prolonged', 'period', 'following', 'growth', 'global', 'estimated', 'declined', 'owing', 'pandemic', 'global', 'projected', 'increase', 'developed', 'country', 'estimated', 'fallen', 'disruption', 'caused', 'pandemic', 'onset', 'pandemic', 'informal', 'employment', 'accounted', 'global', 'employment', 'equivalent', 'informal', 'characterized', 'lack', 'basic', 'protection', 'including', 'social', 'protection', 'coverage', 'developed_country', 'informal_employment', 'lack_basic', 'social_protection']"
366,"['informal', 'worker', 'significantly', 'affected', 'pandemic', 'related', 'lockdown', 'measure', 'working', 'sector', 'hardest', 'risk', 'falling', 'poverty', 'experience', 'greater', 'challenge', 'regaining', 'livelihood', 'recovery', 'median', 'gender', 'country', 'territory', 'close', 'indicating', 'woman', 'hourly', 'earnings', 'country', 'territory', 'gender', 'approximate', 'calculation', 'based', 'hourly', 'earnings', 'controlling', 'sector', 'occupation', 'educational', 'level', 'work', 'experience', 'global', 'study', 'international', 'labour', 'organization', 'identified', 'factor', 'weighted', 'gender', 'country', 'territory', 'recent', 'professional', 'earn', 'double', 'worker', 'elementary', 'occupation', 'hour', 'country_territory', 'country_territory', 'country_territory']"
367,"['percentage', 'point', 'unemployment', 'figure', 'reflect', 'proportion', 'lost', 'result', 'pandemic', 'actively', 'seeking', 'employment', 'simply', 'unable', 'employment', 'owing', 'covid', 'related', 'restriction', 'young', 'woman', 'particularly', 'hard', 'crisis', 'employment', 'loss', 'respectively', 'compared', 'adult', 'world', 'young', 'employment', 'education', 'training', 'proportion', 'unchanged', 'quarterly', 'figure', 'indicate', 'rate', 'fourth', 'quarter', 'second', 'quarter', 'country', 'territory', 'level', 'national', 'compliance', 'fundamental', 'labour', 'right', 'freedom', 'association', 'collective', 'bargaining', 'changed', 'little', 'percentage_point', 'young_woman', 'education_training', 'country_territory']"
368,"['global', 'compared', 'sector', 'hardest', 'pandemic', 'reversal', 'trend', 'expected', 'coming', 'globally', 'international', 'arrival', 'decreased', 'compared', 'represents', 'loss', 'trillion', 'inbound', 'tourism', 'expenditure', 'time', 'loss', 'resulting', 'global', 'crisis', 'estimated', 'tourism', 'risk', 'pandemic', 'effect', 'woman', 'tourism', 'sector', 'virtually', 'country', 'territory', 'world', 'affected', 'island', 'developing', 'state', 'suffer', 'acutely', 'globally', 'number', 'automated', 'teller', 'machine', 'adult', 'rose', 'past', 'decade', 'country_territory', 'island_developing', 'automated_teller', 'past_decade']"
369,"['trade', 'commitment', 'decreased', 'basis', 'current', 'price', 'sector', 'represented', 'energy', 'trade', 'transport', 'storage', 'agriculture', 'country', 'territory', 'formulated', 'operationalized', 'youth', 'employment', 'strategy', 'strategy', 'provide', 'conclusive', 'evidence', 'implementation', 'quarter', 'process', 'developing', 'strategy', 'strengthen', 'capacity', 'domestic', 'financial', 'institution', 'encourage', 'expand', 'access', 'banking', 'insurance', 'financial', 'service', 'achieve', 'higher', 'level', 'economic', 'productivity', 'diversification', 'technological', 'upgrading', 'innovation', 'including', 'focus', 'value', 'added', 'labour', 'intensive', 'sector', 'promote', 'development', 'oriented', 'policy', 'support', 'productive', 'activity', 'decent', 'creation', 'creativity', 'innovation', 'encourage', 'formalization', 'growth', 'micro', 'sized', 'enterprise', 'including', 'access', 'financial', 'service', 'improve', 'progressively', 'global', 'resource', 'efficiency', 'consumption', 'production', 'endeavour', 'decouple', 'economic', 'growth', 'environmental', 'degradation', 'accordance', 'framework', 'programme', 'sustainable', 'consumption', 'production', 'developed', 'country', 'taking', 'lead', 'achieve', 'productive', 'employment', 'decent', 'work', 'woman', 'including', 'young', 'disability', 'equal', 'work', 'equal', 'value', 'country_territory', 'youth_employment', 'financial_institution', 'financial_service', 'higher_level', 'value_added', 'access_financial', 'resource_efficiency', 'consumption_production', 'economic_growth', 'framework_programme', 'sustainable_consumption', 'developed_country', 'employment_decent']"
370,"['immediate', 'effective', 'measure', 'eradicate', 'forced', 'labour', 'modern', 'slavery', 'human', 'trafficking', 'secure', 'prohibition', 'elimination', 'worst', 'child', 'labour', 'including', 'recruitment', 'child', 'soldier', 'child', 'labour', 'protect', 'labour', 'right', 'promote', 'safe', 'secure', 'working', 'environment', 'worker', 'including', 'migrant', 'worker', 'particular', 'woman', 'migrant', 'precarious', 'employment', 'devise', 'implement', 'policy', 'promote', 'sustainable', 'tourism', 'creates', 'promotes', 'local', 'culture', 'product', 'increase', 'trade', 'support', 'developing', 'country', 'particular', 'developed', 'country', 'including', 'enhanced', 'integrated', 'framework', 'trade', 'related', 'technical', 'assistance', 'developed', 'country', 'develop', 'operationalize', 'global', 'strategy', 'youth', 'employment', 'implement', 'global', 'pact', 'international', 'labour', 'organization', 'forced_labour', 'human_trafficking', 'promote_safe', 'secure_working', 'migrant_worker', 'tourism_creates', 'promotes_local', 'culture_product', 'developing_country', 'particular_developed', 'including_enhanced', 'trade_related', 'technical_assistance', 'developed_country', 'youth_employment']"
371,"['goal', 'build', 'resilient', 'infrastructure', 'promote', 'sustainable', 'foster', 'innovation', 'investment', 'infrastructure', 'transport', 'irrigation', 'energy', 'information', 'communication', 'technology', 'crucial', 'achieving', 'sustainable', 'development', 'empowering', 'community', 'country', 'long', 'recognized', 'growth', 'productivity', 'income', 'improvement', 'health', 'education', 'outcome', 'require', 'investment', 'infrastructure', 'manufacturing', 'important', 'driver', 'economic', 'development', 'employment', 'current', 'time', 'manufacturing', 'value', 'added', 'developed', 'country', 'compared', 'europe', 'northern', 'america', 'important', 'factor', 'consider', 'emission', 'carbon', 'dioxide', 'manufacturing', 'process', 'emission', 'decreased', 'past', 'decade', 'country', 'pace', 'decline', 'world', 'resilient_infrastructure', 'information_communication', 'sustainable_development', 'current_time', 'manufacturing_value', 'developed_country', 'europe_northern', 'carbon_dioxide', 'past_decade']"
372,"['technology', 'innovation', 'happen', 'development', 'happen', 'need', 'investment', 'tech', 'product', 'dominate', 'manufacturing', 'production', 'increase', 'efficiency', 'focus', 'mobile', 'cellular', 'service', 'increase', 'connection', 'basic', 'infrastructure', 'like', 'road', 'information', 'communication', 'technology', 'sanitation', 'electrical', 'power', 'water', 'remains', 'scarce', 'developing', 'country', 'global', 'population', 'access', 'mobile', 'broadband', 'network', 'african', 'country', 'particularly', 'income', 'country', 'existent', 'constraint', 'infrastructure', 'affect', 'firm', 'productivity', 'global', 'manufacturing', 'value', 'added', 'driven', 'fast', 'growth', 'manufacturing', 'asia', 'multiplication', 'effect', 'positive', 'impact', 'society', 'mobile_cellular', 'information_communication', 'developing_country', 'african_country', 'manufacturing_value']"
373,"['sector', 'sized', 'enterprise', 'engage', 'industrial', 'processing', 'manufacturing', 'critical', 'early', 'stage', 'typically', 'largest', 'creator', 'business', 'worldwide', 'account', 'employment', 'developed', 'country', 'immense', 'potential', 'food', 'beverage', 'agro', 'industry', 'textile', 'garment', 'good', 'prospect', 'sustained', 'employment', 'generation', 'higher', 'productivity', 'middle', 'income', 'country', 'benefit', 'entering', 'basic', 'fabricated', 'metal', 'industry', 'offer', 'range', 'product', 'facing', 'rapidly', 'growing', 'international', 'demand', 'developing', 'country', 'barely', 'agricultural', 'production', 'undergoes', 'industrial', 'processing', 'income', 'country', 'processed', 'suggests', 'great', 'opportunity', 'developing', 'country', 'agribusiness', 'developed_country', 'middle_income', 'developing_country', 'developing_country']"
374,"['promote', 'inclusive', 'sustainable', 'significantly', 'raise', 'industry', 'employment', 'gross', 'domestic', 'product', 'national', 'circumstance', 'double', 'developed', 'country', 'increase', 'access', 'scale', 'industrial', 'enterprise', 'particular', 'developing', 'country', 'financial', 'service', 'including', 'affordable', 'credit', 'integration', 'value', 'chain', 'market', 'upgrade', 'infrastructure', 'retrofit', 'industry', 'sustainable', 'resource', 'efficiency', 'greater', 'adoption', 'clean', 'environmentally', 'sound', 'technology', 'industrial', 'process', 'country', 'taking', 'action', 'accordance', 'respective', 'capability', 'enhance', 'scientific', 'research', 'upgrade', 'technological', 'capability', 'industrial', 'sector', 'country', 'particular', 'developing', 'country', 'including', 'encouraging', 'innovation', 'substantially', 'increasing', 'number', 'research', 'development', 'worker', 'public', 'private', 'research', 'development', 'spending', 'inclusive_sustainable', 'gross_domestic', 'national_circumstance', 'developed_country', 'developing_country', 'financial_service', 'value_chain', 'resource_efficiency', 'environmentally_sound', 'taking_action', 'developing_country', 'research_development', 'public_private', 'research_development']"
375,"['support', 'domestic', 'technology', 'development', 'research', 'innovation', 'developing', 'country', 'including', 'ensuring', 'conducive', 'policy', 'environment', 'inter', 'alia', 'industrial', 'diversification', 'value', 'addition', 'commodity', 'significantly', 'increase', 'access', 'information', 'communication', 'technology', 'strive', 'provide', 'universal', 'affordable', 'access', 'internet', 'developed', 'country', 'access', 'internet', 'representing', 'population', 'developed', 'country', 'industry', 'innovation', 'infrastructure', 'matter', 'whats', 'goal', 'build', 'resilient', 'infrastructure', 'promote', 'inclusive', 'sustainable', 'foster', 'innovation', 'economic', 'growth', 'social', 'development', 'climate', 'action', 'heavily', 'dependent', 'investment', 'infrastructure', 'sustainable', 'industrial', 'development', 'technological', 'progress', 'face', 'rapidly', 'changing', 'global', 'economic', 'landscape', 'increasing', 'inequality', 'sustained', 'growth', 'include', 'opportunity', 'accessible', 'supported', 'innovation', 'resilient', 'infrastructure', 'developing_country', 'access_information', 'communication_technology', 'developed_country', 'developed_country', 'whats_goal', 'resilient_infrastructure', 'inclusive_sustainable', 'economic_growth', 'resilient_infrastructure']"
376,"['estimated', 'access', 'internet', 'representing', 'population', 'developed', 'country', 'worldwide', 'lack', 'access', 'basic', 'sanitation', 'lack', 'access', 'safely', 'drinking', 'water', 'progress', 'growth', 'manufacturing', 'developing', 'developed', 'region', 'slowed', 'attributed', 'largely', 'emerging', 'trade', 'tariff', 'barrier', 'constrain', 'investment', 'future', 'expansion', 'disparity', 'industrial', 'productivity', 'rich', 'poor', 'remain', 'stark', 'care', 'inclusive', 'sustainable', 'innovation', 'infrastructure', 'unleash', 'dynamic', 'competitive', 'economic', 'force', 'generate', 'employment', 'income', 'play', 'role', 'introducing', 'promoting', 'technology', 'facilitating', 'international', 'trade', 'enabling', 'efficient', 'resource', 'developed_country', 'lack_access', 'basic_sanitation', 'lack_access', 'safely_drinking', 'developed_region', 'inclusive_sustainable']"
377,"['industry', 'pursue', 'sustainability', 'approach', 'positive', 'effect', 'environment', 'climate', 'change', 'affect', 'price', 'inaction', 'price', 'steep', 'ending', 'poverty', 'difficult', 'given', 'industry', 'role', 'core', 'driver', 'global', 'development', 'agenda', 'eradicate', 'poverty', 'advance', 'sustainable', 'development', 'additionally', 'failing', 'improve', 'infrastructure', 'promote', 'technological', 'innovation', 'translate', 'poor', 'health', 'care', 'inadequate', 'sanitation', 'limited', 'access', 'education', 'help', 'establish', 'standard', 'promote', 'regulation', 'ensure', 'company', 'project', 'initiative', 'sustainably', 'collaborate', 'public', 'sector', 'help', 'promote', 'sustainable', 'growth', 'developing', 'country', 'think', 'industry', 'impact', 'life', 'social', 'push', 'policymakers', 'prioritize', 'sdgs', 'climate_change', 'ending_poverty', 'sustainable_development', 'health_care', 'developing_country']"
378,"['financing', 'economic', 'infrastructure', 'developing', 'country', 'impressive', 'progress', 'mobile', 'connectivity', 'country', 'lagging', 'developed', 'country', 'face', 'challenge', 'doubling', 'manufacturing', 'industry', 'investment', 'scientific', 'research', 'innovation', 'remains', 'global', 'efficient', 'transportation', 'service', 'driver', 'economic', 'development', 'world', 'merchandise', 'trade', 'volume', 'transported', 'making', 'maritime', 'transport', 'critical', 'enabler', 'trade', 'globalization', 'international', 'maritime', 'freight', 'estimated', 'globally', 'projected', 'growth', 'test', 'capacity', 'existing', 'maritime', 'transport', 'infrastructure', 'support', 'freight', 'volume', 'global', 'manufacturing', 'slowed', 'developing', 'developed', 'region', 'slowdown', 'attributed', 'mainly', 'emerging', 'trade', 'tariff', 'barrier', 'constrained', 'investment', 'future', 'growth', 'developing_country', 'developed_country', 'manufacturing_industry', 'freight_volume', 'developed_region']"
379,"['stalled', 'level', 'manufacturing', 'developed', 'country', 'remained', 'posing', 'challenge', 'target', 'doubling', 'industry', 'manufacturing', 'employment', 'employment', 'declined', 'country', 'gradually', 'reallocated', 'production', 'factor', 'agriculture', 'value', 'added', 'manufacturing', 'value', 'added', 'manufacturing', 'service', 'global', 'carbon', 'dioxide', 'emission', 'manufacturing', 'industry', 'declined', 'united', 'state', 'dollar', 'showing', 'general', 'decoupling', 'emission', 'growth', 'proportion', 'global', 'invested', 'research', 'development', 'developed_country', 'target_doubling', 'value_added', 'manufacturing_value', 'carbon_dioxide', 'manufacturing_industry', 'united_state', 'research_development']"
380,"['europe', 'northern', 'america', 'standing', 'spent', 'research', 'development', 'developing', 'region', 'falling', 'short', 'world', 'increase', 'number', 'researcher', 'inhabitant', 'number', 'reached', 'saharan', 'africa', 'official', 'flow', 'economic', 'infrastructure', 'developing', 'country', 'reached', 'increase', 'term', 'main', 'sector', 'assisted', 'transport', 'banking', 'financial', 'service', 'tech', 'sector', 'accounted', 'global', 'manufacturing', 'value', 'added', 'tech', 'product', 'continued', 'dominate', 'manufacturing', 'production', 'northern', 'america', 'europe', 'reaching', 'europe_northern', 'research_development', 'developing_region', 'number_researcher', 'saharan_africa', 'official_flow', 'developing_country', 'increase_term', 'main_sector', 'financial_service', 'manufacturing_value', 'northern_america']"
381,"['developed', 'country', 'world', 'live', 'range', 'mobile', 'cellular', 'network', 'signal', 'living', 'range', 'quality', 'higher', 'network', 'evolution', 'mobile', 'network', 'growing', 'rapidly', 'percentage', 'population', 'internet', 'steady', 'progress', 'manufacturing', 'industry', 'achieve', 'inclusive', 'sustainable', 'competitive', 'economic', 'force', 'need', 'unleashed', 'generate', 'employment', 'income', 'facilitate', 'international', 'trade', 'enable', 'efficient', 'resource', 'global', 'manufacturing', 'value', 'added', 'driven', 'fast', 'growth', 'manufacturing', 'asia', 'globally', 'carbon', 'decreased', 'developed_country', 'mobile_cellular', 'manufacturing_industry', 'inclusive_sustainable', 'manufacturing_value']"
382,"['kilogram', 'carbon', 'dioxide', 'dollar', 'value', 'added', 'technology', 'sector', 'accounted', 'manufacturing', 'value', 'added', 'globally', 'value', 'added', 'reached', 'developing', 'economy', 'proportion', 'population', 'covered', 'generation', 'mobile', 'broadband', 'network', 'stood', 'ldcs', 'globally', 'despite', 'steady', 'improvement', 'manufacturing', 'output', 'employment', 'renewed', 'investment', 'needed', 'developed', 'country', 'build', 'needed', 'infrastructure', 'ensure', 'doubling', 'industry', 'country', 'efficient', 'transportation', 'service', 'generate', 'employment', 'wealth', 'estimated', 'global', 'economic', 'impact', 'direct', 'indirect', 'transport', 'trillion', 'equivalent', 'carbon_dioxide', 'value_added', 'manufacturing_value', 'value_added', 'investment_needed', 'developed_country', 'doubling_industry']"
383,"['developed', 'country', 'landlocked', 'developing', 'country', 'island', 'developing', 'state', 'represent', 'travel', 'freight', 'volume', 'country', 'group', 'accounting', 'global', 'manufacturing', 'principal', 'driver', 'economic', 'development', 'employment', 'social', 'stability', 'globally', 'manufacturing', 'value', 'added', 'manufacturing', 'value', 'added', 'amounted', 'europe', 'northern', 'america', 'compared', 'developed', 'country', 'country', 'efficient', 'energy', 'intensive', 'industry', 'emission', 'carbon', 'dioxide', 'unit', 'manufacturing', 'value', 'added', 'generally', 'declining', 'europe', 'northern', 'america', 'reduced', 'emission', 'developed_country', 'landlocked_developing', 'country_island', 'developing_state', 'freight_volume', 'manufacturing_value', 'manufacturing_value', 'europe_northern', 'developed_country', 'carbon_dioxide', 'manufacturing_value', 'europe_northern']"
384,"['promising', 'trend', 'reflected', 'global', 'emission', 'level', 'significant', 'global', 'manufacturing', 'value', 'added', 'moved', 'country', 'generally', 'higher', 'level', 'investment', 'research', 'development', 'stood', 'global', 'worldwide', 'researcher', 'inhabitant', 'ranging', 'developed', 'country', 'europe', 'northern', 'america', 'economic', 'infrastructure', 'developing', 'country', 'reached', 'increase', 'term', 'main', 'recipient', 'sector', 'transport', 'energy', 'manufacturing', 'increasingly', 'shifting', 'technologically', 'complex', 'product', 'tech', 'product', 'continue', 'dominate', 'manufacturing', 'production', 'industrialized', 'economy', 'contribute', 'manufacturing', 'output', 'barely', 'reached', 'developed', 'country', 'manufacturing_value', 'higher_level', 'research_development', 'researcher_inhabitant', 'developed_country', 'europe_northern', 'developing_country', 'increase_term', 'developed_country']"
385,"['world', 'population', 'developed', 'country', 'covered', 'mobile', 'cellular', 'signal', 'goal', 'encompasses', 'important', 'aspect', 'sustainable', 'development', 'infrastructure', 'innovation', 'infrastructure', 'provides', 'basic', 'physical', 'structure', 'essential', 'operation', 'society', 'enterprise', 'drive', 'economic', 'growth', 'creates', 'opportunity', 'reduces', 'income', 'poverty', 'innovation', 'advance', 'technological', 'capability', 'industrial', 'sector', 'prompt', 'development', 'skill', 'important', 'component', 'physical', 'infrastructure', 'shipping', 'travel', 'passenger', 'originated', 'developing', 'region', 'originated', 'developed', 'region', 'developed', 'country', 'landlocked', 'developing', 'country', 'island', 'developing', 'state', 'passenger', 'volume', 'extremely', 'making', 'world_population', 'developed_country', 'mobile_cellular', 'sustainable_development', 'economic_growth', 'developing_region', 'developed_region', 'developed_country', 'landlocked_developing', 'country_island', 'developing_state']"
386,"['respectively', 'global', 'similar', 'pattern', 'freight', 'volume', 'transit', 'developed', 'country', 'landlocked', 'developing', 'country', 'island', 'developing', 'state', 'global', 'respectively', 'manufacturing', 'foundation', 'economic', 'development', 'employment', 'social', 'stability', 'manufacturing', 'value', 'added', 'term', 'developed', 'region', 'estimated', 'decrease', 'past', 'decade', 'owing', 'largely', 'increasing', 'role', 'service', 'developed', 'region', 'contrast', 'manufacturing', 'value', 'added', 'remained', 'relatively', 'stagnant', 'developing', 'region', 'increasing', 'marginally', 'value', 'hide', 'substantial', 'difference', 'manufacturing', 'value', 'added', 'contributing', 'eastern', 'asia', 'saharan', 'africa', 'oceania', 'freight_volume', 'developed_country', 'landlocked_developing', 'country_island', 'developing_state', 'manufacturing_value', 'developed_region', 'past_decade', 'developed_region', 'manufacturing_value', 'remained_relatively', 'developing_region', 'manufacturing_value', 'eastern_asia', 'saharan_africa']"
387,"['country', 'represent', 'global', 'population', 'contribute', 'global', 'manufacturing', 'value', 'added', 'worldwide', 'employed', 'manufacturing', 'manufacturing', 'number', 'fallen', 'industrialized', 'country', 'steadily', 'developing', 'country', 'developed', 'country', 'agricultural', 'traditional', 'sector', 'remain', 'main', 'source', 'employment', 'developing', 'country', 'scale', 'industry', 'accounted', 'estimated', 'value', 'added', 'industrial', 'employment', 'access', 'financial', 'service', 'country', 'remains', 'problem', 'globally', 'credit', 'enterprise', 'defined', 'having', 'employee', 'estimated', 'trillion', 'trillion', 'emerging', 'market', 'enterprise', 'unserved', 'underserved', 'financial', 'service', 'manufacturing_value', 'developing_country', 'developed_country', 'developing_country', 'scale_industry', 'value_added', 'access_financial', 'estimated_trillion', 'financial_service']"
388,"['global', 'carbon', 'dioxide', 'emission', 'unit', 'value', 'added', 'showed', 'steady', 'decline', 'decrease', 'innovation', 'creation', 'sustainable', 'industry', 'spurred', 'investment', 'research', 'development', 'global', 'expenditure', 'research', 'development', 'proportion', 'stood', 'figure', 'mask', 'wide', 'disparity', 'expenditure', 'research', 'development', 'developed', 'region', 'developing', 'region', 'developed', 'country', 'landlocked', 'developing', 'country', 'number', 'researcher', 'inhabitant', 'showed', 'similar', 'pattern', 'global', 'researcher', 'inhabitant', 'ratio', 'ranged', 'developed', 'country', 'developed', 'region', 'carbon_dioxide', 'value_added', 'research_development', 'research_development', 'research_development', 'developed_region', 'developing_region', 'developed_country', 'landlocked_developing', 'number_researcher', 'researcher_inhabitant', 'developed_country', 'developed_region']"
389,"['main', 'sector', 'receiving', 'assistance', 'transport', 'energy', 'infrastructure', 'economic', 'development', 'rely', 'information', 'communication', 'technology', 'mobile', 'cellular', 'service', 'spread', 'rapidly', 'world', 'allowing', 'previously', 'unconnected', 'area', 'join', 'global', 'information', 'society', 'percentage', 'population', 'living', 'area', 'covered', 'mobile', 'broadband', 'network', 'stood', 'globally', 'rural', 'area', 'develop', 'quality', 'reliable', 'sustainable', 'resilient', 'infrastructure', 'including', 'regional', 'transborder', 'infrastructure', 'support', 'economic', 'development', 'human', 'focus', 'affordable', 'equitable', 'access', 'proportion', 'rural', 'population', 'live', 'season', 'road', 'passenger', 'freight', 'volume', 'mode', 'transport', 'main_sector', 'information_communication', 'mobile_cellular', 'area_covered', 'rural_area', 'resilient_infrastructure', 'freight_volume']"
390,"['manufacturing', 'value', 'added', 'proportion', 'manufacturing', 'employment', 'proportion', 'employment', 'increase', 'access', 'scale', 'industrial', 'enterprise', 'particular', 'developing', 'country', 'financial', 'service', 'including', 'affordable', 'credit', 'integration', 'value', 'chain', 'market', 'proportion', 'scale', 'industry', 'industry', 'value', 'added', 'proportion', 'scale', 'industry', 'loan', 'credit', 'upgrade', 'infrastructure', 'retrofit', 'industry', 'sustainable', 'resource', 'efficiency', 'greater', 'adoption', 'clean', 'environmentally', 'sound', 'technology', 'industrial', 'process', 'country', 'taking', 'action', 'accordance', 'respective', 'capability', 'emission', 'unit', 'value', 'added', 'enhance', 'scientific', 'research', 'upgrade', 'technological', 'capability', 'industrial', 'sector', 'country', 'particular', 'developing', 'country', 'including', 'encouraging', 'innovation', 'substantially', 'increasing', 'number', 'research', 'development', 'worker', 'public', 'private', 'research', 'development', 'spending', 'manufacturing_value', 'developing_country', 'financial_service', 'value_chain', 'scale_industry', 'value_added', 'scale_industry', 'resource_efficiency', 'environmentally_sound', 'taking_action', 'value_added', 'developing_country', 'research_development', 'public_private', 'research_development']"
